Grain density (g cm-3),Total porosity (-),Connected porosity (-),Intrinsic permeability (m2),Liquid apparent permeability (m2),Gas apparent permeability (m2),Thermal conductivity (W m-1 K-1)
3.06,,0.126,5.01E-15,,7.61E-15,1.62
3.06,,0.123,6.20E-15,,9.33E-15,1.38
3.06,,0.123,1.00E-14,,1.47E-14,1.56
3.06,,0.123,,,5.00E-16,1.27
3.06,,0.131,4.30E-16,,7.26E-16,
3.07,,0.113,1.11E-15,,1.81E-15,0.97
3.07,,0.128,7.55E-15,,1.13E-14,1.36
3.07,,0.123,1.55E-14,,2.23E-14,1.66
3.06,,0.124,3.03E-15,,4.71E-15,1.21
3.06,,0.130,4.14E-15,,6.34E-15,1.61
3.06,,0.131,9.17E-16,,1.50E-15,1.77
3.07,,0.126,3.32E-15,,5.14E-15,1.53
,,0.000,,,,
,,0.000,,,,
3.05,,0.327,1.98E-16,,3.45E-16,1.42
3.05,,0.346,1.52E-16,,2.67E-16,1.05
3.05,,0.267,1.27E-16,,2.26E-16,1.37
3.05,,0.363,2.25E-16,,3.90E-16,1.08
3.06,,0.267,1.34E-16,,2.37E-16,1.28
3.06,,0.160,2.93E-16,,5.03E-16,
3.06,,0.141,2.71E-16,,4.67E-16,
3.06,,0.158,1.95E-16,,3.40E-16,1.50
3.06,,0.136,1.76E-16,,3.09E-16,1.57
3.06,,0.154,5.41E-16,,9.05E-16,1.63
3.07,,0.161,1.70E-16,,2.98E-16,1.41
3.05,,0.166,2.23E-16,,3.87E-16,1.24
3.06,,0.146,2.88E-16,,4.94E-16,1.29
3.05,,0.176,1.73E-16,,3.03E-16,1.42
3.05,,0.149,1.66E-16,,2.92E-16,
3.05,,0.151,1.36E-16,,2.41E-16,1.53
3.05,,0.153,2.78E-16,,4.78E-16,1.54
3.05,,0.308,3.46E-16,,5.90E-16,1.06
3.05,,0.308,1.11E-16,,1.98E-16,1.33
3.05,,0.335,1.33E-16,,2.35E-16,1.29
3.05,,0.309,3.81E-15,,5.86E-15,1.32
3.05,,0.341,1.65E-16,,2.90E-16,
3.04,,0.326,1.97E-16,,3.43E-16,
3.05,,0.273,1.19E-16,,2.11E-16,
3.05,,0.363,1.33E-16,,2.36E-16,1.13
3.06,,0.287,1.76E-16,,3.09E-16,
3.04,,0.297,3.31E-16,,5.66E-16,
3.04,,0.306,2.81E-16,,4.83E-16,1.08
3.06,,0.264,9.00E-17,,1.62E-16,1.27
3.05,,0.314,1.59E-16,,2.80E-16,
3.05,,0.299,2.89E-16,,4.95E-16,
